2011-09-24 22:13:06 [INFO] Preparing spawn area: 89%
2011-09-24 22:13:07 [INFO] Preparing spawn area: 89%
2011-09-24 22:13:08 [INFO] Preparing spawn area: 89%
2011-09-24 22:13:09 [INFO] Preparing spawn area: 89%
2011-09-24 22:13:10 [INFO] Preparing spawn area: 93%
2011-09-24 22:13:12 [INFO] Preparing spawn area: 93%
2011-09-24 22:13:13 [INFO] Preparing spawn area: 93%
2011-09-24 22:13:15 [INFO] Preparing spawn area: 93%
2011-09-24 22:13:16 [INFO] Preparing spawn area: 93%
2011-09-24 22:13:17 [INFO] Preparing spawn area: 97%
2011-09-24 22:13:18 [INFO] Preparing spawn area: 97%
2011-09-24 22:13:19 [INFO] Preparing spawn area: 97%
2011-09-24 22:13:20 [INFO] Preparing spawn area: 97%
2011-09-24 22:13:22 [INFO] Preparing spawn area: 97%
2011-09-24 22:13:23 [INFO] Preparing start region for level 1
2011-09-24 22:13:23 [INFO] Preparing spawn area: 0%
2011-09-24 22:13:24 [INFO] Preparing spawn area: 0%
2011-09-24 22:13:26 [INFO] Preparing spawn area: 0%
2011-09-24 22:13:27 [INFO] Preparing spawn area: 4%
2011-09-24 22:13:28 [INFO] Preparing spawn area: 4%
2011-09-24 22:13:29 [INFO] Preparing spawn area: 8%
2011-09-24 22:13:31 [INFO] Preparing spawn area: 8%
2011-09-24 22:13:34 [INFO] Preparing spawn area: 8%
2011-09-24 22:13:36 [INFO] Preparing spawn area: 8%
2011-09-24 22:13:37 [INFO] Preparing spawn area: 8%
2011-09-24 22:13:42 [INFO] Preparing spawn area: 8%
2011-09-24 22:13:43 [INFO] Preparing spawn area: 12%
2011-09-24 22:13:44 [INFO] Preparing spawn area: 12%
2011-09-24 22:13:45 [INFO] Preparing spawn area: 12%
2011-09-24 22:13:48 [INFO] Preparing spawn area: 16%
2011-09-24 22:13:49 [INFO] Preparing spawn area: 16%
2011-09-24 22:13:59 [INFO] Preparing spawn area: 16%
2011-09-24 22:14:01 [INFO] Preparing spawn area: 16%
2011-09-24 22:14:05 [INFO] Preparing spawn area: 16%
2011-09-24 22:14:07 [INFO] Preparing spawn area: 16%
2011-09-24 22:14:11 [INFO] Preparing spawn area: 16%
2011-09-24 22:14:13 [INFO] Preparing spawn area: 20%
2011-09-24 22:14:18 [INFO] Preparing spawn area: 20%
2011-09-24 22:14:19 [INFO] Preparing spawn area: 20%
2011-09-24 22:14:20 [INFO] Preparing spawn area: 20%
2011-09-24 22:14:21 [INFO] Preparing spawn area: 24%
2011-09-24 22:14:22 [INFO] Preparing spawn area: 24%
2011-09-24 22:14:27 [INFO] Preparing spawn area: 24%
2011-09-24 22:14:28 [INFO] Preparing spawn area: 24%
2011-09-24 22:14:30 [INFO] Preparing spawn area: 24%
2011-09-24 22:14:34 [INFO] Preparing spawn area: 24%
2011-09-24 22:14:35 [INFO] Preparing spawn area: 24%
2011-09-24 22:14:36 [INFO] Preparing spawn area: 28%
2011-09-24 22:14:38 [INFO] Preparing spawn area: 28%
2011-09-24 22:14:39 [INFO] Preparing spawn area: 28%
2011-09-24 22:14:41 [INFO] Preparing spawn area: 28%
2011-09-24 22:14:46 [INFO] Preparing spawn area: 28%
2011-09-24 22:15:01 [INFO] Preparing spawn area: 28%
2011-09-24 22:15:02 [INFO] Preparing spawn area: 28%
2011-09-24 22:15:04 [INFO] Preparing spawn area: 28%
2011-09-24 22:15:06 [INFO] Preparing spawn area: 28%
2011-09-24 22:15:07 [INFO] Preparing spawn area: 28%
2011-09-24 22:15:09 [INFO] Preparing spawn area: 32%
2011-09-24 22:15:10 [INFO] Preparing spawn area: 32%
2011-09-24 22:15:21 [INFO] Preparing spawn area: 32%
2011-09-24 22:15:22 [INFO] Preparing spawn area: 32%
2011-09-24 22:15:23 [INFO] Preparing spawn area: 32%
2011-09-24 22:15:25 [INFO] Preparing spawn area: 32%
2011-09-24 22:15:26 [INFO] Preparing spawn area: 32%
2011-09-24 22:15:28 [INFO] Preparing spawn area: 32%
2011-09-24 22:15:29 [INFO] Preparing spawn area: 36%
2011-09-24 22:15:31 [INFO] Preparing spawn area: 36%
2011-09-24 22:15:32 [INFO] Preparing spawn area: 36%
2011-09-24 22:15:33 [INFO] Preparing spawn area: 36%
2011-09-24 22:15:38 [INFO] Preparing spawn area: 36%
2011-09-24 22:15:40 [INFO] Preparing spawn area: 36%
2011-09-24 22:15:42 [INFO] Preparing spawn area: 40%
2011-09-24 22:15:49 [INFO] Preparing spawn area: 40%
2011-09-24 22:15:50 [INFO] Preparing spawn area: 40%
2011-09-24 22:15:52 [INFO] Preparing spawn area: 40%
2011-09-24 22:15:54 [INFO] Preparing spawn area: 40%
2011-09-24 22:15:55 [INFO] Preparing spawn area: 44%
2011-09-24 22:15:56 [INFO] Preparing spawn area: 44%
2011-09-24 22:15:58 [INFO] Preparing spawn area: 48%
2011-09-24 22:15:59 [INFO] Preparing spawn area: 48%
2011-09-24 22:16:01 [INFO] Preparing spawn area: 48%
2011-09-24 22:16:02 [INFO] Preparing spawn area: 52%
2011-09-24 22:16:03 [INFO] Preparing spawn area: 52%
2011-09-24 22:16:06 [INFO] Preparing spawn area: 52%
